
weight init uniformaly between 0 to 1:
epoch: 10 (0.8406136363636364, 6) lr: 0.1
epoch: 10 (0.8354090909090909, 7) lr: 0.1
epoch: 10 (0.842, 6) lr: 0.1
epoch: 20 (0.8545681818181818, 15) lr: 0.1
epoch: 20 (0.8530681818181818, 17) lr: 0.1
epoch: 20 (0.8533863636363637, 18) lr: 0.1
epoch: 30 (0.8567045454545454, 28) lr: 0.1
epoch: 30 (0.8620681818181818, 25) lr: 0.1
epoch: 30 (0.8561136363636364, 22) lr: 0.1
epoch: 40 (0.8607272727272727, 35) lr: 0.1
epoch: 40 (0.86, 37) lr: 0.1
epoch: 40 (0.859840909090909, 15) lr: 0.1
weight init uniformaly between -0.08 to 0.08:
epoch: 20 (0.8443409090909091, 18) lr: 0.01
epoch: 20 (0.8356363636363636, 19) lr: 0.01
epoch: 20 (0.8142045454545455, 19) lr: 0.01
epoch: 25 (0.8505681818181818, 16) lr: 0.01
epoch: 25 (0.8370681818181818, 18) lr: 0.01
epoch: 25 (0.8185227272727272, 24) lr: 0.01
epoch: 30 (0.8516590909090909, 29) lr: 0.01
epoch: 30 (0.8436136363636364, 29) lr: 0.01
epoch: 30 (0.8359318181818182, 29) lr: 0.01

weight init normalize distrobution::
epoch: 20 (0.864840909090909, 18) lr: 0.01
epoch: 20 (0.8613409090909091, 14) lr: 00.1
epoch: 20 (0.8529545454545454, 15) lr: 00.1
epoch: 25 (0.8640681818181818, 17) lr: 0.01
epoch: 25 (0.8588636363636364, 18) lr: 00.1
epoch: 25 (0.854909090909091, 17) lr: 00.1
epoch: 30 (0.8685681818181819, 26) lr: 0.01
epoch: 30 (0.8620909090909091, 18) lr: 00.1
epoch: 30 (0.85925, 26) lr: 00.1
